Location,County,Statistic,Value,Year,Month,Day,Unit,Age adjusted
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,14,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,15,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,16,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,17,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,18,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,19,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,20,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,21,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,22,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,23,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,24,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,25,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,26,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,27,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,28,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,29,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,30,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,10,31,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,1,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,2,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,3,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,4,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,5,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,6,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,7,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,8,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,9,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,10,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,11,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,12,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,13,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,14,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,15,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,16,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,17,people,false
Zip Code 19717,New Castle County,Deaths (Age: Unknown),0,2020,11,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,3,31,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,4,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,5,31,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,6,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,7,31,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,27,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,28,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,29,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,30,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,8,31,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,1,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,2,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,3,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,4,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,5,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,6,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,7,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,8,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,9,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,10,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,11,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,12,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,13,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,14,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,15,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,16,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,17,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,18,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,19,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,20,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,21,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,22,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,23,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,24,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,25,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,26,people,false
Zip Code 19717,New Castle County,Confirmed Deaths,0,2020,9,27,people,false
